ticker,score,last_price,strategy_count,avg_strat_return_pct,avg_strat_max_drawdown_pct,avg_strat_sharpe,avg_strat_sortino,avg_strat_calmar,avg_pl_pct_all,pl_std_dev,positive_strat_ratio,avg_trades_per_strat,avg_commission_per_strat,bh_return_pct,bh_max_drawdown_pct,bh_sharpe,top_strategies,worst_strategies
COROMANDEL,1.9879955907611366,2049.050048828125,47,22.733497237678947,6.800377295083954,1.9879955907611366,2.701049369769804,3.202417109315228,22.72732510939189,23.628810746107476,0.7659574468085106,64.68085106382979,681.2382155943525,82.0548144291881,17.43526291802513,2.1628121595079346,"information_flow_strategy:79.15, ultimate_oscillator_strategy:78.70, dual_thrust_strategy:73.08","zeta_potential_strategy:0.00, quantum_oscillator_strategy:0.00, phase_change_strategy:-0.11"
COFORGE,1.6935062794484808,7780.7998046875,47,15.796341136430026,7.231313296306309,1.6935062794484808,2.3201448298289966,2.0950475483060513,15.794312227144273,20.257071240904356,0.7446808510638298,48.276595744680854,472.7529107380318,41.72610432644499,26.37871368701468,1.1333399911389934,"ultimate_oscillator_strategy:67.34, dual_thrust_strategy:60.36, triple_moving_average_strategy:59.20","dpo_strategy:-2.36, wavelet_momentum_strategy:-4.92, keltner_channel_strategy:-12.40"
GLENMARK,1.6074795362094922,1509.199951171875,47,15.708303679454527,8.98096575363867,1.6074795362094922,2.547695209246694,1.6775188615760552,15.702116362037819,17.00331101102893,0.7446808510638298,66.72340425531915,717.3349285979577,53.12681002873505,29.65652261924624,1.539486222107576,"triple_moving_average_strategy:55.96, dual_thrust_strategy:50.93, ultimate_oscillator_strategy:46.59","quantum_oscillator_strategy:0.00, kauffman_efficiency_strategy:-0.25, phase_change_strategy:-1.97"
DIXON,1.5897254771587297,12923.900390625,47,17.429390571127158,5.8582857643513275,1.5897254771587297,1.843767484467649,2.852622544682334,17.423163087334817,26.900120811849067,0.5957446808510638,18.340425531914892,254.43459708485707,63.33170627855957,31.76453130476686,1.3136618192371556,"triple_moving_average_strategy:105.19, adaptive_momentum_filter_strategy:83.23, vortex_indicator_strategy:73.01","zeta_potential_strategy:0.00, quantum_oscillator_strategy:0.00, schaff_trend_cycle_strategy:-5.99"
PAYTM,1.5139663869440492,801.0999755859375,47,32.98571199557181,13.193026751762297,1.5139663869440492,2.5748479284881496,2.3911565196071796,32.978820371705716,43.37997562113732,0.6595744680851063,64.19148936170212,701.6755205811843,92.41022309166553,34.836910168376676,1.460766829503591,"ultimate_oscillator_strategy:129.09, dual_thrust_strategy:125.97, stochastic_momentum_strategy:111.61","relative_vigor_index_strategy:-11.90, keltner_channel_strategy:-12.74, wavelet_momentum_strategy:-15.96"
ERIS,1.4953839874459667,1390.0,47,17.321266130996182,9.011786863224726,1.4953839874459667,2.5209363078180718,1.8429324642838434,17.318685896922,18.998037684964455,0.7021276595744681,68.1063829787234,723.0862859172416,65.40159333076083,24.272671232998185,1.6470867902815796,"information_flow_strategy:64.09, dual_thrust_strategy:60.53, elder_ray_strategy:60.10","kalman_filter_strategy:-2.04, simple_trend_reversal_strategy:-2.35, kauffman_efficiency_strategy:-6.39"
SUVENPHAR,1.4572904566133384,1074.050048828125,47,21.53248393044045,9.344518184815366,1.4572904566133384,2.232204413165547,2.207845598586443,21.52693727837681,24.720738411375628,0.7659574468085106,68.80851063829788,750.1713829618413,62.98179800123294,26.900013229926422,1.4915753968530168,"adaptive_momentum_filter_strategy:75.20, volume_price_trend_strategy:74.40, information_flow_strategy:67.85","bollinger_bands_strategy:-0.16, kauffman_efficiency_strategy:-1.86, rsi_strategy:-5.81"
KIMS,1.4457804826851999,618.2000122070312,47,13.79271174177401,7.39822515849083,1.4457804826851999,2.1711583696371504,1.7886602573742196,13.788189643647208,15.291199313387848,0.7659574468085106,72.59574468085107,740.998913304755,48.9423254091742,23.067030802758655,1.5621970782923826,"elder_ray_strategy:59.11, information_flow_strategy:53.42, ultimate_oscillator_strategy:48.57","quantum_oscillator_strategy:0.00, kalman_filter_strategy:-0.47, mass_index_strategy:-0.59"
LLOYDSME,1.427882318607323,1276.8499755859375,47,22.456038832030178,12.33668290053121,1.427882318607323,1.9666838537287477,1.7438109964808077,22.449548600665153,24.69576750675331,0.723404255319149,73.08510638297872,779.4066925308554,109.13282580750163,33.04591044460909,1.92871715708315,"information_flow_strategy:94.11, elder_ray_strategy:84.45, dual_thrust_strategy:66.60","mass_index_strategy:-1.53, kauffman_efficiency_strategy:-4.95, momentum_strategy:-5.73"
DEEPAKFERT,1.416444461044752,1101.949951171875,47,29.341082012891363,13.429383425645492,1.416444461044752,2.355568484238208,2.0907269861639386,29.334501854204547,32.2748199108172,0.8085106382978723,70.27659574468085,804.7145573379839,109.45851597081702,34.849173696665666,1.5958898549455391,"ultimate_oscillator_strategy:107.44, information_flow_strategy:100.74, adaptive_momentum_filter_strategy:98.39","complex_network_strategy:0.00, zeta_potential_strategy:0.00, wavelet_momentum_strategy:-0.17"
PCBL,1.3708210330569628,423.8999938964844,47,24.33474950854897,16.569132306058055,1.3708210330569628,2.313893427027817,1.4065556798120895,24.330053161813943,29.276105023315445,0.6808510638297872,69.53191489361703,774.0182532790164,54.72943092437612,39.08414088317726,1.1428174916184664,"adaptive_channel_strategy:91.46, price_channel_strategy:83.25, kst_strategy:78.67","dpo_strategy:-10.60, keltner_channel_strategy:-15.32, wavelet_momentum_strategy:-21.71"
